Pen	Stage	Name	ID	Tag	Sex	Weight (lbs)	Breed Primary	Hair %	Wool %	Coat Observed	Coat Predicted	Sire ID	Dam ID	Weak Parasites	Last FAMACHA	Status	Notes
Tree Fort	2	Orange 31 Ram Lamb	tag-31-orange-tf-ram-lamb	MC2616	ram								tag-31-orange-tf		? (4-11-26)	alive	Born 1-2-26. Orange tag 31 ewes baby ram. 7 weeks old 2-20-26. Source: notebook card TF. MC2616 green. Eyes good all che
Tree Fort	2	Bambii	bambii	24/0003	ewe	None						None	None		? (4-11-26)	alive	In Pen 2 (Sir Loin group) per spiral notebook (authoritative). Was struck through in treatment list but notebook roster 
Tree Fort	2	Bambiis Baby	bambii-baby	MC-2615	ewe								bambii		? (4-11-26)	alive	Born 12-28-25. Bambiis baby. 7.5 weeks old 2-20-26. Sex UNCLEAR from card — marked ? Source: notebook card TF. MC2615 gr
Tree Fort	2	Fawn Wool Ewe 114	tag-114-fawn-wool	114	ewe	145	Cracker/Suffolk/GCN/Katahdin	12.5	87.5		wool	None	None		? (3-29-26)	alive	Tag 114, orange tag. Fawn wool ewe. Was in Pen 2 but moved to Pen 1 because Rocky (Jerkface, tag 140) was keeping her aw
Tree Fort	2	Orange Tag 31 Ewe (Tree Fort)	tag-31-orange-tf	31	ewe										1-2 (2026-04-11)	alive	Tag 31 (ORANGE tag — different from Pen 5's yellow Tag 31). Came from another farm (owner believes Charlie's farm, per 2
Tree Fort	2	White Ewe 0035	tag-0035-white-ewe	0035	ewe	130	Black Headed Dorper/Katahdin	100	0		hair				1-2 (2026-04-11)	alive	Tag 0035. White ewe with dot on ear. Single baby (ewe, born 1-2-26). Covexin 8 3-10-26 (full dose). Source: notebook car
Pen 4	3	FM2 Ram Lamb	fm2-ram-lamb	MC2614	ram		[Kelsier x FM2 offspring]					kelsier	fm2-0051		1-2 (2026-04-10)	alive	Born 1-31-26. FM2s baby ram. Sire: Kelsier. 2.6 weeks old as of 2-20-26. Eyes good throughout. Source: notebook card pen
Pen 4	3	Gigis 2025 Ram	gigi-2025-ram	MC-09	ram		[Kelsier x Gigi offspring]					kelsier	gg		1-2 (2026-04-10)	alive	Tag 09 [UNCLEAR]. Gigis 2025 baby. Yearling ram, old enough to mate. Sire believed Kelsier. Moved from Goose Pen to Pen 
Pen 4	3	Merrieweather	merrie	00016	ram	200	Cracker/St Augustine/Katahdin/BBB/White Dorper	50.0	50	hair	hair	smore	half-tail		? (3-9-26)	alive	Flock spreadsheet: Tag 016, ram. S'More (100%Cr) x Half Tail (12.5%BBB/31.25%K/56.25%SA). DOB 1/14/2023. Brown and Tan. 
Pen 4	3	Serendipity White Ram Twin	serendipity-twin-ram	MC2606	ram		[Kelsier x Serendipity offspring]					kelsier	serendipity		? (4-10-26)	alive	Born 12-30-25. Serendipitys white ram twin. Sire: Kelsier. FAMACHA 3 on 2-12-26, then eyes bad on 2-20-26 — treated with
Pen 4	3	FM	fm	0011	ewe	212.5	Cotswold/Tunis	0	100		wool	fm-sire	fm-dam	YES	? (4-10-26)	alive	Tag GA1568-011, 50% Cotswold / 50% Tunis, Tunis Red, 200lbs. DOB 2/14/2021 per breeding page. Acquired 2/27/2021. Sire: 
Pen 4	3	FM2	fm2-0051	0051	ewe	185	Cotswold/Tunis/St Augustine/Katahdin	50.0	50		mixed	sir-loin	fm		1-2 (2026-04-10)	alive	Tag 0051. FM2. Fat and gray. 1 baby ram born 1-31-26. Sire: Kelsier. Eyes good throughout. Source: notebook card pen 4. 
Pen 4	3	GG	gg	MC-19	ewe	212.5	Hampshire/Suffolk	0	100		wool	None	None	YES	? (4-10-26)	alive	Azure's full brother. On weak resistance list. From Google Sheet Pen 4 / notebook. Pen 4 (monitoring/treatment pen). FAM
Pen 4	3	Lara	lara	023	ewe	160	Black Headed Dorper	100	0		hair	lara-sire	lara-dam	YES	? (4-10-26)	alive	MERGED 2026-04-24: This record (Lara, tag 023) was duplicated as 'g023-bhd-ewe' (tag G023 — green-tag convention for the
Pen 4	3	Little Daisy	little-daisy	035	ewe	145	St Augustine/Katahdin/BBB	100.0	0		hair	dodge	daisy			alive	Breeding page: Dodge (Sir Loin x Broken Tail) x Daisy (Sir Loin x Half Tail). 4.6875%BBB/27.325%K/67.9625%SA. DOB 3/23/2
Pen 4	3	Samson Daughter (Pen 4)	samson-daughter-p4	None	ewe	None	Hampshire/Cotswold/Tunis	0	100		wool	samson	fm			alive	Identified by owner 2026-04-24 from Pen 4 photos (back-right position, picture 1). Full sibling to MC08 (Pen 6 ram). Bot
Pen 4	3	Serendipity	serendipity	MC157	ewe	138	St Augustine/Babydoll/Jacob/Katahdin	50.0	50		mixed	sir-loin	shaggy		? (4-10-26)	alive	Breeding page: 25%Babydoll/25%Jacob/12.5%K/37.5%SA. Tag 30. DOB 3/25/2022. Acquired 3/25/2022. Ewe weight 137.5lbs, ram 
Pen 4	3	Serendipity Black Ewe Twin	serendipity-twin-ewe	MC2607	ewe		[Kelsier x Serendipity offspring]					kelsier	serendipity		? (4-10-26)	alive	Born 12-30-25. Serendipitys black ewe twin. Sire: Kelsier. FAMACHA 5 (white) on 2-12-26 — aggressive treatment Ivermecti
Pen 4	3	Small White Ewe (Pen 4)	sm-white-ewe-p4	MC189	ewe	145	St Augustine/Katahdin/BBB	100.0	0		hair	dodge	daisy		? (4-10-26)	alive	No tag (now tagged TBD). Small white ewe. No babies. Eyes good throughout. Source: notebook card pen 4. Sister of Little
Pen 5	4	Angus	angus	None	ram		Katahdin/Dorper/Awassi	75	25		hair					alive	
Pen 5	4	Elsie	elsie	025	ewe	175	Katahdin/St Augustine/BBB	100.0	0		hair	well-done	half-tail		1 (2023-09-18)	alive	Breeding page: Tag 25, 6.25%ABB(BBB)/65.625%K/28.125%SA. DOB 2/8/2022. Well Done (100K) x Half Tail (12.5BBB/31.25K/56.2
Pen 5	4	Elsie Large White Ewe Triplet	elsie-triplet-lg-white-ewe	MC-2618	ewe							nori-son	elsie		1-2 (2026-03-17)	alive	Born 1-6-26. Elsies triplet. Large white female. Sire: Eclipse. Eyes good 2-13-26. Covexin 8 3-17-26. Source: notebook c
Pen 5	4	Ewe Tag 02	tag-02-ewe-p5	02	ewe		[UNCLEAR]								1-2 (2026-04-11)	alive	Tag 02. Ewe. Pen 5. No babies. Proven breeder — Eclipse failure. Source: notebook card pen 5.
Pen 5	4	Ewe Tag 31	tag-31-ewe-p5	31	ewe	170	St Augustine/Katahdin	100	0		hair	sir-loin			1-2 (2026-04-11)	alive	Tag 31. Ewe. Pen 5. No babies. Proven breeder in prior years — Eclipse failure. Source: notebook card pen 5. Sir Loin of
Pen 5	4	Fawn Wool Ewe (Pen 5)	fawn-wool-ewe-p5	240006	ewe		Wool								1-2 (2026-04-11)	alive	No tag (now tagged TBD). Wool ewe, fawn color, long ears. Pen 5. Broke out of catch pen 2-13-26, could not check FAMACHA
Pen 5	4	OAV 2222	oav-2222	2222	ewe	140	Katahdin	100	0		hair	None	None		Good (2024-03-13)	alive	Kelsier's sister. 100% Katahdin confirmed by Rocky and OAV 2222 breeding pages. Tag OAV 2222. Ewe weight 140lbs, ram wei
Pen 5	4	OAV 2222 Lamb 1 (White-Rust)	oav-2222-lamb-1	None	ewe_lamb							nori-son	oav-2222		1 (2026-05-02)	alive	
Pen 5	4	OAV 2222 Lamb 2 (White-Rust + Black Dot)	oav-2222-lamb-2	None	ewe_lamb							nori-son	oav-2222		1 (2026-05-02)	alive	
Pen 6	5	MC08	mc08-ram	MC08	ram	190	Hampshire/Cotswold/Tunis	0	100		wool	samson	fm		1-2 (2026-03-13)	alive	Tag MC08, yellow. Ram in Pen 6 with Windlestone Awassi ewes. Cream/fawn wool sheep, white face. Sire: Samson, dam: FM — 
Pen 6	5	Windlestone Fat Tail 0055	windlestone-0055	0055	ewe	200.0	Awassi/East Friesian	0	100		wool				1-2 (2026-03-13)	alive	Tag 0055. Windlestone Ranch fat tail (Awassi) ewe. Tiny/sm horns, dark legs. No babies. Eyes good. Covexin 8 3-13-26. So
Pen 6	5	Windlestone Fat Tail 0056	windlestone-0056	0056	ewe	200.0	Awassi/East Friesian	0	100		wool				1-2 (2026-03-13)	alive	Tag 0056. Windlestone Ranch fat tail (Awassi) ewe. Med thick long horns, nice to handle. No babies. Eyes good. Covexin 8
Pen 6	5	Windlestone Fat Tail 2139	windlestone-2139	2139	ewe	200.0	Awassi/East Friesian	0	100		wool				1-2 (2026-03-13)	alive	Tag 2139. Windlestone Ranch fat tail (Awassi) ewe. Big ewe w nice horns. No babies. Eyes good. Covexin 8 3-13-26. Source
Pen 1	6	Charlies Ewe Ram Lamb	charlies-ram-lamb	MC-2619	ram		Katahdin/Awassi/BHD/ABB/Wiltshire Horn	75.0	25.0		hair	buck	charlies-ewe		? (3-30-26)	alive	Buck(Kat/Awassi/EF) x Charlies Ewe(Kat/BHD/ABB/WH). 75% hair, above shedding threshold. Heavy Katahdin from both parents
Pen 1	6	Orange Tag Ram	orange-tag-00110	00110	ram	287.5	Cracker/Suffolk/GCN/Katahdin	12.5	87.5	wool	wool	None	None		? (3-30-26)	alive	Tag 00110, orange tag. Ram. Poop trimmed at butt 2-19-2026. Source: notebook card. Breeding rule R3: exclude from geriat
Pen 1	6	00113	tag-00113-ewe-p1	00113	ewe	None	Cracker/Suffolk/GCN/Katahdin	12.5	87.5		wool	None	None			alive	NEW RECORD 2026-04-26 (added from Pen 5 photo session). Full sister of orange-tag-00110 (Pen 1 ram) and tag-114-fawn-woo
Pen 1	6	0053	nuba-0053	0053	ewe	175	Hampshire/St Augustine/Katahdin	50.0	50		mixed	samson	None		? (4-9-26)	alive	Tag 0053. White hair ewe — no proper name; prior 'Nuba' / 'Nubia' was a Claude transcription error off the tag number, N
Pen 1	6	0053's Baby Ewe	nuba-baby-ewe	None	ewe	None						rocky	nuba-0053		? (4-9-26)	alive	Born 3-24-26 to Nuba (0053) in Pen 1. Sire: Rocky. Black w/ white patch on top, white tip tail. Eyes good 4-9-26. 1st CD
Pen 1	6	Azure	azure	20	ewe	212.5	Hampshire/Suffolk	0	100		wool	None	None	YES	? (3-30-26)	alive	Mom calls her 'Amure'. GG's full sister. On weak resistance list. 94% wool per Google Sheet. Suffolk Cross. In Pen 5 / a
Pen 1	6	Baby Azure	baby-azure	MC-2610	ewe		[UNCLEAR - Azure offspring]					None	azure		? (4-1-26)	alive	No tag (now tagged, number TBD). Born 1-10-26. Azures baby, Gigis Sister. Single baby. FAMACHA 5 on 4-1-2026 — treated a
Pen 1	6	Charlies Ewe	charlies-ewe	MC2620	ewe		Katahdin/BHD/ABB/Wiltshire Horn	100.0	0		hair	None	None		? (2-13-26)	alive	Nori line: Nori(ABB/WH) x Dorper -> x Katahdin -> Charlies Ewe. Same breed composition as Charlie. Technical half-siblin
Pen 1	6	Hair Ewe 0033	tag-0033-hair-ewe	0033	ewe	170	St Augustine/Katahdin	100.0	0		hair	sir-loin	None		? (3-30-26)	alive	Tag 0033. Hair ewe. Had twins (2 rams, born ~1-1-26). Source: notebook card, pen 1. Sir Loin daughter. St Augustine x Ka
Pen 1	6	Wool Ewe 0044	tag-0044-wool-ewe	0044	ewe	170	Katahdin/Awassi/East Friesian	50	50		mixed	None	None		? (4-30-26)	alive	Tag 0044. Wool ewe. No babies. Source: notebook card, pen 1. Buck descendant. Wool ewe. Wool ewe. No babies. Eyes consis
Pen 2	7	Rocky	rocky	140	ram	300	Black Headed Dorper/Awassi/East Friesian	50	50		mixed	teaser	dorper-ewe-198	YES	? (3-13-26)	alive	Also called Jerkface/Rock/Louise's Ram. Tag 140. 44%Awassi/50%BHD/6%EF per breeding page. Sire: Awassi Ram 'Teaser' (88A
Pen 2	7	Windlestone Kat/Dorper Ram	windlestone-kat-dorper	None	ram	None	Katahdin/Dorper	100.0	0	hair	hair	None	None		1 (2025-2026)	alive	Windlestone Kat/Dorper: 50% top-tier Katahdin x 50% elite Dorper (top in the country). FAMACHA 1 consistently for 1 year
Chicken Coop	?	Buck	buck	MC-2433	ram	270.8	Katahdin/Awassi/East Friesian	50	50		mixed	None	None			alive	Current Buck in chicken coop. Brother of original Buck who died in Hurricane Helene. Same breed: 48%Awassi/2%EF/50%Katah
None	?	Dodge	dodge	None	ram	277.3	St Augustine/Katahdin/BBB	100.0	0		hair	sir-loin	broken-tail			alive	Sir Loin (25K/75SA) x Broken Tail (28.125K/65.625SA/6.25BBB). Inbred: Sir Loin is Broken Tail's sire. Sire of Little Dai
None	?	Kaladin	kaladin	014	ram	52	Cracker/St Augustine/Babydoll/Jacob/Katahdin	25.0	75.0		wool	smore	serendipity			alive	Living Kaladin tag 014. DOB 5/11/2023 per extension service. S'More (100%Cr) x Serendipity (25%Babydoll/25%Jacob/12.5%K/
None	?	Loki	loki	None	ram							dodge	daisy-of-sugar			alive	
None	?	Cocoa	cocoa	None	ewe							smore	half-tail			alive	
None	?	Daisy (of Sugar)	daisy-of-sugar	None	ewe							sir-loin	sugar			alive	
Goose Pen	outside	114 Black Ram Lamb	tag-114-black-ram-lamb	None	ram		[UNCLEAR - 114 offspring]					rocky	tag-114-fawn-wool			alive	Born 3-29-2026. Little black ram lamb with white spot on head. Healthy. Born in Pen 2 but moved with dam to Pen 1 becaus
