Name	ID	Tag	Sex	Status	Status Date	Breed Primary	Sire ID	Dam ID	Notes
Lara's Daughter	lara-daughter-46	046	ewe	sold	None		kelsier	lara	Kelsier (sire) x Lara (dam) daughter. Tag 46. Sold because prone to Coccidia. CORRECTION 2026-05-13: sire_id 'gg' was wr
GG's Son	gg-son-094	094	ram	deceased	None		kelsier	gg	GG's son. Tag 094. Sire: Kelsier, Dam: GG (owner-confirmed 2026-05-13 — prior sire_id 'gg' was wrong since GG is an ewe)
430-2079	tag-430-2079	430-2079	ewe	deceased	2023-08-21	Suffolk/Hampshire	None	None	Tag 430-2079 (pen 5). 25%Hampshire/75%Suffolk. Ewe weight 335.15lbs, ram weight prediction 400lbs. DOB 2017. Acquired 8-
Kelsier's Sister	kelsiers-sister	2241	ewe	deceased	None	Katahdin	None	None	Kelsier's sister. Tag 2241. 100% Katahdin. Weight 150lbs. Breeding page attributes: Flighty?, Good Mother?, Attentive, P
Dorper Ram (Deceased)	dorper-ram-deceased	None	ram	deceased	None	Dorper	None	None	Dorper ram from sick sheep note. Given iron and B on 10-24. Deceased.
Tag 240002	tag-240002	240002	unknown	sold	2026-02-15		None	None	Sold 2026-02-15.
Tag 0049	tag-0049	0049	unknown	sold	2026-02-15		None	None	Sold 2026-02-15.
Tag 240001	tag-240001	240001	unknown	sold	2026-02-15		None	None	Sold 2026-02-15.
Mc06	mc06	None	unknown	sold	2026-02-15		None	None	Sold 2026-02-15. MC tag Mc06.
Tag 0050	tag-0050	0050	unknown	sold	2026-02-15		None	None	Sold 2026-02-15. Possibly one of the goose pen auction lambs (tag 50).
Razzle	razzle	5	ram	deceased	None	Barbados Blackbelly	None	None	Flock spreadsheet: Tag 5, 100% BBB ram, Badger color, 125lbs. DOB 3/1/2014. Purchased from auction (Sire: Auction 1, Dam
Frazzle	frazzle	6	ewe	deceased	None	Katahdin	None	None	Flock spreadsheet: Tag 6, 100% Katahdin ewe, Black, 175lbs. DOB 2/27/2013. Purchased from auction (Sire: Auction 2, Dam:
Almond Joy	almond-joy	None	ram	deceased	None		None	None	From Sheep Breeding DB. Ram culled (C) for being cryptorchid.
Sugar	sugar	4	ewe	deceased	None	BBB/Katahdin	razzle	frazzle	Flock spreadsheet: Tag 4, 50% BBB / 50% Katahdin, Tan, 224lbs. DOB 2/14/2014. Razzle (100BBB) x Frazzle (100K). Mother o
Penny	penny	None	ewe	deceased	None		None	None	From Sheep Breeding DB. Ewe culled (C) for poor shedding.
Two Pence	two-pence	None	ewe	deceased	None	Katahdin/St Augustine	None	None	From Sheep Breeding DB. Ewe culled as daughter of cryptorchid (Almond Joy). Mother of BSOE (by Sir Loin). Breed estimate
Haylee Lawson	haylee-lawson	14	ewe	deceased	None	Dorper/Katahdin	None	None	Flock spreadsheet: Tag 14, 50% Dorper / 50% Katahdin, White, 175lbs. DOB ~1/1/2019. Purchased (Sire: HL1, Dam: HL2). Mot
Pretzel	pretzel	13	ewe	deceased	None	Dorper/Katahdin	None	None	Flock spreadsheet: Tag 13, 75% Dorper / 25% Katahdin, Black/White, 130lbs. DOB 1/20/2022. Purchased from Maria (Sire: Ma
W140	w140	None	ewe	deceased	2026-04-02		None	None	On weak resistance list. Status alive but weak. Marked deceased April 2026 — not on notebook cards. Likely lost to hurri
Anna's Big One	annas-big-one	None	ewe	deceased	2026-04-02	Katahdin/St Augustine	sir-loin	anna	Flock spreadsheet: 62.5% Katahdin / 37.5% St Augustine, 200lbs. DOB 12/1/2014. Sir Loin x Anna. Called 'Banana' in noteb
Dorpy	dorpy	None	ewe	deceased	2026-04-02	Katahdin/Dorper/Babydoll	None	None	From Google Sheet Pen 4. Tag 34 offspring row. Marked deceased April 2026 — not on notebook cards. Likely lost to hurric
Tag 34 (Pen 4)	tag-34-pen4	None	ewe	deceased	2026-04-02	Katahdin/St Augustine	None	None	From Google Sheet Pen 4. 100% hair. Marked deceased April 2026 — not on notebook cards. Likely lost to hurricanes 2023/2
0033 Twin Ram 1 (White/Brown)	tag-0033-twin-ram-1	MC2608	ram	sold	2026-04-06	[UNCLEAR - 0033 offspring]	None	tag-0033-hair-ewe	No tag (now tagged, number TBD). Born ~1-1-26. Twin from 003/0033 hair ewe. 7 weeks old as of 2-19. Source: notebook car
0033 Twin Ram 2 (Black)	tag-0033-twin-ram-2	MC2609	ram	sold	2026-04-26	[UNCLEAR - 0033 offspring]	None	tag-0033-hair-ewe	No tag (now tagged, number TBD). Born ~1-1-26. Twin from 003/0033 hair ewe. 7 weeks old as of 2-19. Source: notebook car
Broken Tail Twin Ewe 2 (White)	broken-tail-twin-ewe-2	MC-2601	ewe	deceased	2026-04-22	[UNCLEAR - Broken Tail offspring]	None	broken-tail	No tag (now tagged TBD). Born 12-31-25. Broken Tails second twin. White ewe. Escaped from catch pen 2-13-26. 6.6 weeks o
Daisy (Anna line)	daisy-anna-line	None	ewe	sold		Sir Loin x Anna offspring	sir-loin	anna	Sold off farm. Buyers named her Daisy. CORRECTION 2026-05-13: prior note claimed she was 'Dam of Little Daisy' — owner c
Elsie Small White Ewe Triplet	elsie-triplet-sm-white-ewe	None	ewe	sold	2026-04-26		nori-son	elsie	Born 1-6-26. Elsies triplet. Small white female. Sire: NoriSon (formerly recorded as Eclipse — same ram, merged). Eyes g
Elsie Black Ram Triplet	elsie-triplet-black-ram	None	ram	gifted	2026-03-15		nori-son	elsie	Born 1-6-26. Elsies triplet. Black ram. Sire: Eclipse. Gifted mid-March 2026 to girl starting her flock. Eyes good 2-13-
Goose Pen 09	goose-09	09	ram	sold	2026-02-15				Sold at auction 2-15-26. ~00.
Goose Pen 50	goose-50	50	ewe	sold	2026-02-15				Wooly Tan. Sold at auction 2-15-26. ~00.
Goose Pen 06	goose-06	06	ram	sold	2026-02-15				White Hair/Tan. Sold at auction 2-15-26. ~00.
Goose Pen L19	goose-l19	L19	ewe	sold	2026-02-15				Black, sheared. Sold at auction 2-15-26. ~00.
00113's Singleton (deceased)	tag-00113-singleton-2026	None	unknown	deceased	2026-04-25	[Cracker/Suffolk/GCN/Katahdin × Sir Loin/Nori]	nori-son	tag-00113-ewe-p1	Singleton lamb of 00113 by NoriSon. Born 2026-04-22, died 2026-04-25 — failure to thrive. Brown body. Sex not determined
